# Funcio sin(x)
#   x           sin(x)
0.000000e+00 0.000000e+00
1.591549e-01 1.584839e-01
3.183099e-01 3.129618e-01
4.774648e-01 4.595290e-01
6.366198e-01 5.944808e-01
7.957747e-01 7.144059e-01
9.549297e-01 8.162731e-01
1.114085e+00 8.975075e-01
1.273240e+00 9.560557e-01
1.432394e+00 9.904377e-01
1.591549e+00 9.997847e-01
1.750704e+00 9.838602e-01
1.909859e+00 9.430667e-01
2.069014e+00 8.784355e-01
2.228169e+00 7.916002e-01
2.387324e+00 6.847558e-01
2.546479e+00 5.606028e-01
2.705634e+00 4.222796e-01
2.864789e+00 2.732824e-01
3.023944e+00 1.173775e-01
3.183099e+00 -4.149429e-02
3.342254e+00 -1.993173e-01
3.501409e+00 -3.521021e-01
3.660564e+00 -4.959869e-01
3.819719e+00 -6.273347e-01
3.978874e+00 -7.428255e-01
4.138029e+00 -8.395399e-01
4.297183e+00 -9.150334e-01
4.456338e+00 -9.673978e-01
4.615493e+00 -9.953093e-01
4.774648e+00 -9.980625e-01
4.933803e+00 -9.755878e-01
5.092958e+00 -9.284534e-01
5.252113e+00 -8.578505e-01
5.411268e+00 -7.655638e-01
5.570423e+00 -6.539261e-01
5.729578e+00 -5.257592e-01
5.888733e+00 -3.843027e-01
6.047888e+00 -2.331323e-01
6.207043e+00 -7.606897e-02
6.366198e+00 8.291711e-02
6.525353e+00 2.398073e-01
6.684508e+00 3.906359e-01
6.843663e+00 5.315905e-01
7.002817e+00 6.591081e-01
7.161972e+00 7.699655e-01
7.321127e+00 8.613606e-01
7.480282e+00 9.309832e-01
7.639437e+00 9.770735e-01
7.798592e+00 9.984664e-01
7.957747e+00 9.946212e-01
8.116902e+00 9.656351e-01
8.276057e+00 9.122407e-01
8.435212e+00 8.357878e-01
8.594367e+00 7.382087e-01
8.753522e+00 6.219700e-01
8.912677e+00 4.900099e-01
9.071832e+00 3.456639e-01
9.230987e+00 1.925806e-01
9.390142e+00 3.462939e-02
9.549297e+00 -1.241971e-01
9.708452e+00 -2.798843e-01
9.867606e+00 -4.284969e-01
1.002676e+01 -5.662784e-01
1.018592e+01 -6.897461e-01
1.034507e+01 -7.957793e-01
1.050423e+01 -8.816976e-01
1.066338e+01 -9.453294e-01
1.082254e+01 -9.850662e-01
1.098169e+01 -9.999036e-01
1.114085e+01 -9.894666e-01
1.130000e+01 -9.540190e-01
1.145916e+01 -8.944567e-01
1.161831e+01 -8.122854e-01
1.177747e+01 -7.095820e-01
1.193662e+01 -5.889426e-01
1.209578e+01 -4.534166e-01
1.225493e+01 -3.064297e-01
1.241409e+01 -1.516971e-01
1.257324e+01 6.869836e-03
1.273240e+01 1.652632e-01
1.289155e+01 3.194791e-01
1.305071e+01 4.656197e-01
1.320986e+01 5.999908e-01
1.336902e+01 7.191961e-01
1.352817e+01 8.202223e-01
1.368733e+01 9.005159e-01
1.384648e+01 9.580472e-01
1.400563e+01 9.913621e-01
1.416479e+01 9.996185e-01
1.432394e+01 9.826077e-01
1.448310e+01 9.407595e-01
1.464225e+01 8.751320e-01
1.480141e+01 7.873838e-01
1.496056e+01 6.797331e-01
1.511972e+01 5.549008e-01
1.527887e+01 4.160423e-01
1.543803e+01 2.666676e-01
1.559718e+01 1.105524e-01
1.575634e+01 -4.835723e-02
