# Funcio sin(x^2)
#  x          sin(x^2)
0.000000e+00 0.000000e+00
1.591549e-02 2.533030e-04
3.183099e-02 1.013212e-03
4.774648e-02 2.279725e-03
6.366198e-02 4.052836e-03
7.957747e-02 6.332532e-03
9.549297e-02 9.118780e-03
1.114085e-01 1.241153e-02
1.273240e-01 1.621068e-02
1.432394e-01 2.051610e-02
1.591549e-01 2.532759e-02
1.750704e-01 3.064486e-02
1.909859e-01 3.646754e-02
2.069014e-01 4.279513e-02
2.228169e-01 4.962699e-02
2.387324e-01 5.696232e-02
2.546479e-01 6.480012e-02
2.705634e-01 7.313919e-02
2.864789e-01 8.197806e-02
3.023944e-01 9.131499e-02
3.183099e-01 1.011479e-01
3.342254e-01 1.114744e-01
3.501409e-01 1.222917e-01
3.660564e-01 1.335966e-01
3.819719e-01 1.453854e-01
3.978874e-01 1.576539e-01
4.138029e-01 1.703972e-01
4.297183e-01 1.836102e-01
4.456338e-01 1.972868e-01
4.615493e-01 2.114202e-01
4.774648e-01 2.260031e-01
4.933803e-01 2.410272e-01
5.092958e-01 2.564835e-01
5.252113e-01 2.723619e-01
5.411268e-01 2.886516e-01
5.570423e-01 3.053406e-01
5.729578e-01 3.224160e-01
5.888733e-01 3.398635e-01
6.047888e-01 3.576680e-01
6.207043e-01 3.758129e-01
6.366198e-01 3.942804e-01
6.525353e-01 4.130516e-01
6.684508e-01 4.321057e-01
6.843663e-01 4.514210e-01
7.002817e-01 4.709740e-01
7.161972e-01 4.907397e-01
7.321127e-01 5.106916e-01
7.480282e-01 5.308017e-01
7.639437e-01 5.510400e-01
7.798592e-01 5.713751e-01
7.957747e-01 5.917737e-01
8.116902e-01 6.122008e-01
8.276057e-01 6.326197e-01
8.435212e-01 6.529918e-01
8.594367e-01 6.732766e-01
8.753522e-01 6.934320e-01
8.912677e-01 7.134139e-01
9.071832e-01 7.331765e-01
9.230987e-01 7.526721e-01
9.390142e-01 7.718512e-01
9.549297e-01 7.906627e-01
9.708452e-01 8.090537e-01
9.867606e-01 8.269697e-01
1.002676e+00 8.443546e-01
1.018592e+00 8.611507e-01
1.034507e+00 8.772989e-01
